Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

D3         SMx                    14.5mm        46.3mm        14.5mm          44mm        14.5mm        44.4mm  B         90.00 DIODE1         
R22        R0603                    29mm     25.9255mm          29mm        25.1mm          29mm        25.1mm  B         90.00 4.7k           
RL1        R0603                8.0255mm       3.635mm         7.2mm       3.635mm         7.2mm       3.635mm  B        360.00 1k             
RR         R0603               14.3745mm        50.2mm        15.2mm        50.2mm        15.2mm        50.2mm  B        180.00 10K            
U17        TSSOP32                  47mm       53.75mm       50.75mm        44.1mm       50.75mm        44.1mm  B         90.00 29C512_TSSOP   
UD1        TSSOP-20              47.05mm      69.075mm        50.3mm          72mm        50.3mm          72mm  B        180.00 74LS245        
CV50       C0603               57.4248mm       35.05mm       58.25mm       35.05mm       58.25mm       35.05mm  B        180.00 0.1uf          
R41        R0603                1.8255mm        60.6mm           1mm        60.6mm           1mm        60.6mm  B        360.00 4.7k           
R40        R0603                1.8255mm       74.35mm           1mm       74.35mm           1mm       74.35mm  B        360.00 4.7k           
R39        R0603                1.8255mm       61.95mm           1mm       61.95mm           1mm       61.95mm  B        360.00 4.7k           
R38        R0603                1.8255mm       59.25mm           1mm       59.25mm           1mm       59.25mm  B        360.00 4.7k           
R37        R0603                6.5255mm       75.15mm         5.7mm       75.15mm         5.7mm       75.15mm  B        360.00 4.7k           
R36        R0603                9.6755mm       75.15mm        8.85mm       75.15mm        8.85mm       75.15mm  B        360.00 4.7k           
R35        R0603                1.8255mm       51.65mm           1mm       51.65mm           1mm       51.65mm  B        360.00 4.7k           
R34        R0603                1.8255mm       53.05mm           1mm       53.05mm           1mm       53.05mm  B        360.00 4.7k           
R33        R0603                1.8255mm        63.3mm           1mm        63.3mm           1mm        63.3mm  B        360.00 4.7k           
R32        R0603                1.8255mm        64.7mm           1mm        64.7mm           1mm        64.7mm  B        360.00 4.7k           
R31        R0603                1.8255mm          73mm           1mm          73mm           1mm          73mm  B        360.00 4.7k           
R30        R0603                1.8255mm        67.5mm           1mm        67.5mm           1mm        67.5mm  B        360.00 4.7k           
R29        R0603                1.8255mm        66.1mm           1mm        66.1mm           1mm        66.1mm  B        360.00 4.7k           
C9         C0603               14.3748mm       51.65mm        15.2mm       51.65mm        15.2mm       51.65mm  B        180.00 10uf           
C8         C0603                 37.95mm     53.3248mm       37.95mm       54.15mm       37.95mm       54.15mm  B        270.00 220pf          
CV8        C0603               29.1747mm        40.5mm          30mm        40.5mm          30mm        40.5mm  B        180.00 0.1uf          
I4         BTB1.0-15P-B            8.1mm        25.1mm        10.1mm        28.6mm        10.1mm        28.6mm  B        270.00 CON15P         
R27        R0603               12.8255mm       75.15mm          12mm       75.15mm          12mm       75.15mm  B        360.00 4.7k           
C3         C0603               34.3252mm       35.05mm        33.5mm       35.05mm        33.5mm       35.05mm  B        360.00 15pf           
I2         BTB1.0-51P-B            8.1mm       57.75mm        10.1mm       70.25mm        10.1mm       70.25mm  B        270.00 CON51P         
RN2_4      R0603                1.8245mm        48.2mm        2.65mm        48.2mm        2.65mm        48.2mm  B        180.00 4.7k           
U10        PQFP100B               26.6mm      59.675mm        17.5mm       50.25mm        17.5mm       50.25mm  B         90.00 82C206         
